"file","protein","cell","input"
"ENCFF563EHM","TIAL1","HepG2",TRUE
"ENCFF374DAW","AQR","K562",FALSE
"ENCFF436KLO","AQR","K562",FALSE
"ENCFF027WDY","HNRNPU","HepG2",TRUE
"ENCFF070RME","QKI","K562",TRUE
"ENCFF609LFM","ZNF800","K562",TRUE
"ENCFF379FKC","DGCR8","K562",TRUE
"ENCFF894PGH","TROVE2","HepG2",TRUE
"ENCFF068LVA","TRA2A","K562",TRUE
"ENCFF258DPQ","TIA1","HepG2",FALSE
"ENCFF681JJG","TIA1","HepG2",FALSE
"ENCFF653PSU","ZNF800","HepG2",TRUE
"ENCFF778POI","KHDRBS1","K562",FALSE
"ENCFF787ROO","KHDRBS1","K562",FALSE
"ENCFF160TWL","SRSF7","HepG2",TRUE
"ENCFF364ZNC","SMNDC1","K562",TRUE
"ENCFF229LHL","GRSF1","HepG2",TRUE
"ENCFF723IPF","SUB1","HepG2",TRUE
"ENCFF635FQJ","HNRNPUL1","HepG2",TRUE
"ENCFF739BZK","GPKOW","K562",FALSE
"ENCFF966HIC","GPKOW","K562",FALSE
"ENCFF293ZZT","HLTF","HepG2",FALSE
"ENCFF757PDP","HLTF","HepG2",FALSE
"ENCFF957SIF","DDX3X","HepG2",FALSE
"ENCFF402KOO","DDX3X","HepG2",FALSE
"ENCFF956SAT","EIF4G2","K562",TRUE
"ENCFF053BXG","TAF15","K562",TRUE
"ENCFF233UZH","DROSHA","K562",FALSE
"ENCFF773TEA","DROSHA","K562",FALSE
"ENCFF487PQZ","BCCIP","HepG2",TRUE
"ENCFF689OKB","XRN2","HepG2",FALSE
"ENCFF584DZW","XRN2","HepG2",FALSE
"ENCFF862IYK","XRN2","K562",FALSE
"ENCFF794JUI","XRN2","K562",FALSE
"ENCFF934JXI","ZNF622","K562",FALSE
"ENCFF259ZHT","ZNF622","K562",FALSE
"ENCFF770DEI","SMNDC1","K562",FALSE
"ENCFF253SPF","SMNDC1","K562",FALSE
"ENCFF409LAD","YBX3","K562",TRUE
"ENCFF732EQX","PUM2","K562",FALSE
"ENCFF231WHF","PUM2","K562",FALSE
"ENCFF588XPN","ZRANB2","K562",FALSE
"ENCFF348UPB","ZRANB2","K562",FALSE
"ENCFF563BNB","BUD13","K562",FALSE
"ENCFF086LQG","BUD13","K562",FALSE
"ENCFF059PZS","GRSF1","HepG2",FALSE
"ENCFF338LOF","GRSF1","HepG2",FALSE
"ENCFF399CEH","HNRNPK","K562",TRUE
"ENCFF596UYR","SLTM","HepG2",TRUE
"ENCFF585BNE","FASTKD2","HepG2",TRUE
"ENCFF848GHI","LARP4","K562",TRUE
"ENCFF453TEC","SSB","K562",TRUE
"ENCFF265GVT","ZNF800","HepG2",FALSE
"ENCFF474PGR","ZNF800","HepG2",FALSE
"ENCFF497KTD","TROVE2","K562",TRUE
"ENCFF984WTC","XRCC6","K562",TRUE
"ENCFF405ERW","EXOSC5","HepG2",FALSE
"ENCFF216VBT","EXOSC5","HepG2",FALSE
"ENCFF273HDK","AARS","K562",TRUE
"ENCFF101VSR","YBX3","HepG2",TRUE
"ENCFF118WBK","STAU2","HepG2",TRUE
"ENCFF903KIZ","FKBP4","HepG2",TRUE
"ENCFF745DZH","HLTF","HepG2",TRUE
"ENCFF062LCG","TAF15","HepG2",TRUE
"ENCFF026OKT","NOL12","HepG2",TRUE
"ENCFF715RSI","ZC3H11A","K562",FALSE
"ENCFF709BYW","ZC3H11A","K562",FALSE
"ENCFF217IZI","AQR","HepG2",TRUE
"ENCFF661LGO","ZC3H8","K562",TRUE
"ENCFF288LEG","G3BP1","HepG2",FALSE
"ENCFF395MJO","G3BP1","HepG2",FALSE
"ENCFF732NGW","WDR43","HepG2",TRUE
"ENCFF234QSA","CSTF2T","K562",TRUE
"ENCFF607WID","HNRNPL","HepG2",FALSE
"ENCFF518JBW","HNRNPL","HepG2",FALSE
"ENCFF251DMV","AGGF1","K562",FALSE
"ENCFF604NYA","AGGF1","K562",FALSE
"ENCFF612HAQ","UTP3","K562",FALSE
"ENCFF826UUS","UTP3","K562",FALSE
"ENCFF148DUH","YBX3","HepG2",FALSE
"ENCFF560ZTA","YBX3","HepG2",FALSE
"ENCFF140QVQ","FMR1","K562",TRUE
"ENCFF864GYL","GTF2F1","K562",FALSE
"ENCFF985HWL","GTF2F1","K562",FALSE
"ENCFF102FKE","BUD13","K562",TRUE
"ENCFF943EZJ","APOBEC3C","K562",FALSE
"ENCFF284TAX","APOBEC3C","K562",FALSE
"ENCFF427IMN","IGF2BP1","HepG2",FALSE
"ENCFF777OWL","IGF2BP1","HepG2",FALSE
"ENCFF905UMJ","RPS3","HepG2",TRUE
"ENCFF244QMW","LIN28B","HepG2",TRUE
"ENCFF222NYJ","METAP2","K562",TRUE
"ENCFF156WVL","UCHL5","K562",TRUE
"ENCFF166ZIY","SERBP1","K562",TRUE
"ENCFF261SEG","RBM15","HepG2",FALSE
"ENCFF562QVD","RBM15","HepG2",FALSE
"ENCFF222TZU","EIF3D","HepG2",TRUE
"ENCFF956ELY","HNRNPUL1","HepG2",FALSE
"ENCFF536XVW","HNRNPUL1","HepG2",FALSE
"ENCFF296GDR","RBFOX2","K562",FALSE
"ENCFF537RYR","RBFOX2","K562",FALSE
"ENCFF204HYV","EIF3H","HepG2",TRUE
"ENCFF184AQO","ILF3","K562",TRUE
"ENCFF759JDI","EIF3G","K562",TRUE
"ENCFF233HCD","RPS3","HepG2",FALSE
"ENCFF959SXJ","RPS3","HepG2",FALSE
"ENCFF690NVV","HNRNPA1","HepG2",FALSE
"ENCFF330OFU","HNRNPA1","HepG2",FALSE
"ENCFF651VGM","SRSF9","HepG2",FALSE
"ENCFF460TAE","SRSF9","HepG2",FALSE
"ENCFF949QUY","FXR1","K562",FALSE
"ENCFF830ZKB","FXR1","K562",FALSE
"ENCFF615UKX","RBM22","HepG2",TRUE
"ENCFF977BAJ","BUD13","HepG2",TRUE
"ENCFF797RXZ","DROSHA","HepG2",TRUE
"ENCFF702XFC","ILF3","HepG2",FALSE
"ENCFF245KXT","ILF3","HepG2",FALSE
"ENCFF993XXG","HNRNPL","K562",FALSE
"ENCFF775AIE","HNRNPL","K562",FALSE
"ENCFF515BTB","RBFOX2","HepG2",TRUE
"ENCFF269WSV","TNRC6A","K562",TRUE
"ENCFF259KVP","LARP4","HepG2",FALSE
"ENCFF202RTW","LARP4","HepG2",FALSE
"ENCFF948CVQ","FAM120A","K562",TRUE
"ENCFF114ELO","YWHAG","K562",TRUE
"ENCFF416LFA","CDC40","HepG2",FALSE
"ENCFF770GEL","CDC40","HepG2",FALSE
"ENCFF396TYB","NIPBL","K562",TRUE
"ENCFF473EVT","AATF","K562",FALSE
"ENCFF645UGJ","AATF","K562",FALSE
"ENCFF722JFH","NOL12","HepG2",FALSE
"ENCFF134IIH","NOL12","HepG2",FALSE
"ENCFF048VBN","SLTM","K562",TRUE
"ENCFF145LAD","PABPN1","HepG2",FALSE
"ENCFF974AOE","PABPN1","HepG2",FALSE
"ENCFF385AIL","POLR2G","HepG2",FALSE
"ENCFF460SKC","POLR2G","HepG2",FALSE
"ENCFF933JFZ","NFX1","K562",TRUE
"ENCFF759UTZ","PCBP1","HepG2",TRUE
"ENCFF692AEZ","AARS","K562",FALSE
